Community,Religieux-Religieuses,Corps,Corps-Officiel,Province,Site,Site-2,Country,lat,lon,Number-Approx,Total Enslaved Persons,Empire,sphere,Approximate Year of Data,Reference,Note,NamesofReligious,RefRel,Contract of Founding,Summary of Contract,Ref for Contract
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,"Quartier de Flacq, Rivierre du Poste",La Cure St. Julien,Mauritius,-20.2053974,57.68835316,38,38,French,2,1780,"""Recensement Général de l'Isle de France,"" 1780. Archives Nationales d'Outre-Mer, G1/474. Mamet, Joseph. <em>Les Lazaristes, fondateurs de la chrétienté de l'Ile de France</em>. Port-Louis: Diocèse de Port-Louis, 1972, 30–31.","A Royal Ordinance of September 15, 1766, mandated each parish to have a Fabrique responsible for maintaining the church, presbytery, and worship needs, with fees set by the Governor and Intendant, supplemented by income from landed properties due to insufficient funds from the faithful. Saint-Julien (Flacq) received 315 arpents in the fertile heights of Flacq, which were almost completely fallow at the time.",M. Jacques Sachet (Mar. 1770 - Oct. 1781),"Mamet, Joseph. Les Lazaristes, fondateurs de la chrétienté de l’Ile de France. Port Louis: Diocèse de Port-Louis, 1972.",,,
Lazarists,Séculiers,Lazaristes,Congrégation de la Mission,Congregation of the Mission,Port-Bourbon,Cure de Notre Dame des Anges,Mauritius,-20.41095237,57.70874423,82,82,French,2,1780,"""Recensement Général de l'Isle de France,"" 1780. Archives Nationales d'Outre-Mer, G1/474. Mamet, Joseph. <em>Les Lazaristes, fondateurs de la chrétienté de l'Ile de France</em>. Port-Louis: Diocèse de Port-Louis, 1972, 30–31.","In July 1723, the two oldest properties at Port-Louis and Port Bourbon were allocated lands. Notre Dame des Anges (in the latter) received several hundred arpents.",M. Etienne Michel de Brossard (June 1778 - Dec. 1788),"Mamet, Joseph. Les Lazaristes, fondateurs de la chrétienté de l’Ile de France. Port Louis: Diocèse de Port-Louis, 1972.",,,
Seminary of Quebec,Séculiers,Prêtres du Séminaire de Québec,Société des prêtres du Séminaire de Québec,Séminaire de Québec,"Cahokia, Illinois",Mission de la Sainte Famille des Cahos aux Illinois ,United States,38.561944,-90.172778,30,30,French,2,1763,"Alvord, Clarence Walworth. <em>Kaskaskia Records, 1778–1790</em>. Springfield: Trustees of the Illinois State Historical Library, 1909. Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013. ""Mission des Cahoquias & Son Etat,"" January 1, 1732. Archives Nationales d'Outre-Mer, G1/464 (microfilm: 5Mi1240, Archives nationales, CARAN, Paris).","The Séminaire de Québec, which was not an order but a community of secular priests active as missionaries throughout French North America, indicated on a deed of sale from 1763 that they owned 30 African or African-descended and Native slaves at their mission station Sainte-Famille. Trudel misidentifies this as “Kaskaskia,” another post in the Illinois country. An earlier inventory of the ""Mission des Cahoquias"" from 1723 listed several missionaries and 8 slaves (3 men and 1 woman of African descent, described as ""Nègres,"" and 3 men and 1 woman of indigenous background, described as ""Esclaves Indiens""), in addition to a barn and livestock and ""35 terres en valeur.""After the American War of Independence and the annexation of the Northwest Territory by the US, the remaining priests of the Seminary returned to Quebec in the 1780s, but left behind a number of enslaved men and women or sold them on dubious legal grounds. In 1787, the parishioners of Cahokia sent a letter to the priests of the Seminary of Quebec, requesting that they relinquish all property in the area for use by the parish vestry-board (fabrique) of Holy Family parish. They hoped, in particular, to recover ownership of “some families of negroes on the Spanish side who are of considerable value…and were either given their liberty or were sold by M. Forget, the last vicar in the region during French colonial times, without being authorized to do it. There are even some here in the parish of Cahokia… we limit ourselves to praying you, gentlemen, kindly to interest yourselves to cause these negroes to re-enter into the power of our mission. These have greatly increased by propagation.” (Letter, Cahokia, June 6, 1787)",,,,,
Recollects,Religieux,Récollets,Ordre des frères mineurs recueillis,Récollets,"Detroit, Michigan",Fort Pontchartrain du Détroit,United States,42.3205,-83.0766,3,3,French,2,1737,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013. Dilhet, Jean. <em>État de l'église Catholique ou Diocèse des États-Unis de l'Amérique Septentrionale</em>. Edited by Patrick William Browne. Washington, DC: Salve Regina Press, 1922.","Father Bonaventure Léonard, a Récollet missionary based at Detroit between 1722 to 1737 who founded Ste. Anne parish, claimed three enslaved people (a Paducah man, a Fox woman, and her son). As the Récollets (French Franciscans) could not in principle own property, neither individually nor collectively, it is likely that these three bondpeople were donated to the parish. ",,,,,
Religious Hospitallers of Saint Joseph,Religieuses,Religieuses Hospitalières de Saint-Joseph,Congrégation des Religieuses Hospitalières de Saint-Joseph,Sisters of the Order of the Religious Hospitallers of St. Joseph,"Montreal, Quebec",Hôtel-Dieu (Montréal),Canada,45.5,-73.5667,4,4,French,2,1737,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.","The Hôtel-Dieu in Montreal appears to have owned three Native women and one black woman in total over the course of the eighteenth century (according to the civil status registries for 1720, 1733, 1737, 1798). ",,,,,
Congregation of Notre Dame,Religieuses,Sœurs de la congrégation de Notre-Dame,Congrégation de Notre-Dame de Montréal,Sisters of the Congregation of Notre Dame of Montreal,"Montreal, Quebec",Montréal,Canada,45.5,-73.5667,1,1,French,2,1733,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.","The Sisters of the Congregation of Notre Dame owned a Fox (Meskwaki) girl, Tonton, who died at the Hotel-Dieu de Québec in 1733. They also held a black man in bondage, for whom we have a record of baptism in 1771, and burial two years later.",,,,,
Grey Nuns,Religieuses,Sœurs Grises,Congrégation des Soeurs de la Charité de Montréal,The Sisters of Charity of Montreal ,"Montreal, Quebec",Hôpital Général (Montréal),Canada,45.5,-73.5667,6,6,French,2,1720,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013.","The Hôpital Général of Montreal, where the Grey Nuns (Order of Sisters of Charity) were founded by the widow Marie-Marguerite d'Youville, received donations of enslaved people. Marie-Marguerite d'Youville brought the enslaved people of her late husband to the hospital. After the British conquest of Canada, several French individuals who returned to France left their slaves to the hospital. By 1774(?), at least three enslaved people (all indigenous) had been donated to the hospital; an additional three to four enslaved people belonged to Mother d'Youville.",,,,,
Spiritans,Séculier,Spiritains,Congrégation du Saint-Esprit,Congregation of the Holy Spirit,Regina (?),Habitation de la Mission (Aprouague),French Guiana,4.342303778,-52.13176024,221,221,French,2,1787,"Varachaud, Marie-Christine, and André Zysberg. ""Spiritains et la 'France équinoxiale': la mission de Guyane (vers 1770–1789)."" <em>Mémoire Spiritaine</em> 17, no. 17 (2003): 53. https://dsc.duq.edu/memoire-spiritaine/vol17/iss17/7.","The government chose priests trained at the Séminaire du Saint-Esprit in Paris to replace the Jesuits in Guyane. Donations to the Jesuit-founded college in Cayenne and assets from the Guyana mission were combined with royal funds to purchase a large estate in Aprouague. Swiss engineer Guisan from Surinam, an expert in land reclamation, transformed the estate into a plantation equipped for cultivating sugarcane, manufacturing sugar, and distilling rum. By 1787, the plantation was nearly complete and employed 221 slaves. Despite estimates of generating up to 100,000 livres per year in net revenue, this goal had not yet been achieved.",,,,,
Spiritans,Séculier,Spiritains,Congrégation du Saint-Esprit,Congregation of the Holy Spirit,Cayenne,College (anciennement des Jésuites),French Guiana,4.94155203,-52.33120788,1,Unknown Number,French,2,1787,"Varachaud, Marie-Christine, and André Zysberg. ""Spiritains et la 'France équinoxiale': la mission de Guyane (vers 1770–1789)."" <em>Mémoire Spiritaine</em> 17, no. 17 (2003). https://dsc.duq.edu/memoire-spiritaine/vol17/iss17/7.",The Spiritans took over the administration of the college founded in the late 17th century by the Jesuits (now known as Collège Eugène Nonnon),,,,,
Sulpicians,Séculiers,Sulpiciens,Compagnie des prêtres de Saint-Sulpice,Society of Priests of Saint-Sulpice,"Baltimore, Maryland",Baltimore,United States,39.2833,-76.6167,6,6,British/U.S.,1,1797,"""Tessier's Epoque"" and ""Tessier's Diary."" Associated Archives of St. Mary's Seminary and University. Baltimore, MD. Ulshafer, Thomas R. ""Slavery and the Early Sulpician Community in Maryland."" <em>U.S. Catholic Historian</em> 37, no. 2 (2019): 1–21. https://doi.org/10.1353/cht.2019.0013.","A small community of priests from the Society of Saint Sulpice arrived in Baltimore in 1791 as émigrés from France, invited by the United States' first bishop, John Carroll, to establish the country’s first institution for the training of Catholic clergy. They also built a small boarding school for boys on the campus: St. Mary’s College. The chapel became the spiritual home of the local Catholic community, including numerous refugees from the Haitian Revolution, among them men and women of color, such as Mary Lange, who would go on to begin the first congregation of nuns of African descent in the US, the Oblate Sisters of Providence, in 1829. Between 1796 and 1822, the names of at least ten domestics working on the site of the Sulpicians’ seminary and college can be found in the pages of the diary of the community’s superior, Father Tessier. Sulpician historian Thomas Ulshafer finds evidence that at least six of them were enslaved (Jack, Peg, Nicholas, Hortense, an unnamed man, and an unnamed woman). Most were hired out from people in the Baltimore area (many of whom were émigrés from France or Saint-Domingue) or sent from Bohemia Plantation (property of the former Jesuit province of Maryland), which was under the management of the Sulpicians beginning in 1793. Ulshafer suggests that the Maryland community of Sulpicians did not have sufficient funds in the 1790s for the outright purchase of enslaved people. The Sulpicians also hired a number of free white and black people in the city.",,,,,
Sulpicians,Séculiers,Sulpiciens,Compagnie des prêtres de Saint-Sulpice,Society of Priests of Saint-Sulpice,"Montreal, Quebec",Montréal,Canada,45.5,-73.5667,2,2,French,2,1760,"Trudel, Marcel. <em>Canada's Forgotten Slaves: Two Hundred Years of Bondage</em>. Translated by George Tombs. Montréal: Véhicule Press, 2013. Dilhet, Jean. <em>État de l'église Catholique ou Diocèse des États-Unis de l'Amérique Septentrionale</em>. Edited by Patrick William Browne. Washington, DC: Salve Regina Press, 1922.","The Sulpician Priests, based in Montreal, had at least two slaves in Canada. In 1753, Father François Picquet traveled to France accompanied by a black slave named Charles; in 1760, Father Delagarde buried an 11-year-old Panis slave, Anselme, in Montreal.",,,,,
Ursulines,Religieuses,Ursulines,Ordre de Sainte-Ursule,,"Chalmette, Louisiana",Habitation des Ursulines,United States,29.93173646,-89.95628394,61,61,Spanish,4,1770,"Clark, Emily. <em>Masterless Mistresses: The New Orleans Ursulines and the Development of a New World Society, 1727–1834</em>. Williamsburg, VA: Omohundro Institute of Early American History and Culture; Chapel Hill: University of North Carolina Press, 2007, 169. https://www.hmdb.org/m.asp?m=149151.","In 1770, the plantation operated by the French, and French- and Spanish-Creole Ursuline nuns of New Orleans was home to 61 slaves; in 1791, 17 slaves were censused as living in the convent itself (24 in 1795).",,,,,
Ursulines,Religieuses,Ursulines,Ordre de Sainte-Ursule,,New Orleans,New Orleans (Convent),United States,29.960787,-90.060566,24,24,Spanish,4,1795,"Clark, Emily. <em>Masterless Mistresses: The New Orleans Ursulines and the Development of a New World Society, 1727–1834</em>. Chapel Hill: University of North Carolina Press, 2007, 169.","In 1770, the plantation operated by the French, and French- and Spanish-Creole Ursuline nuns of New Orleans, was home to 61 slaves; in 1791, 17 slaves were recorded as living in the convent itself (24 in 1795).",,,,,
Ursulines,Religieuses,Ursulines,Ordre de Sainte-Ursule,,"Saint-Pierre, Martinique",Saint-Pierre,Martinique,14.748,-61.1761,200,At least 200,French,2,1700,"Keller-Lapp, Heidi. ""Floating Cloisters and Heroic Women: French Ursuline Missionaries, 1639–1744."" <em>World History Connected</em> 4, no. 3 (2007). https://worldhistoryconnected.press.uillinois.edu/4.3/lapp.html. ""Lettres patentes portant confirmation de l'établissement des Ursulines à la Martinique,"" August 28, 1681. Archives Nationales d'Outre-Mer, C8 B 19 N° 37. Aix-en-Provence.","In the late seventeenth century, the Ursulines of France aimed to prove their suitability for a mission in Martinique by highlighting their fervor, youth, health, and strong constitutions. They benefitted from their reputation for hardiness and zeal in ministering to Native people and French settlers in New France, as emphasized in letters from mother superiors in Rouen and St. Denis. A community from the latter house was eventually chosen. The first contingent arrived in Martinique in 1682 and immediately began educating the daughters of French and Creole colonists as well as enslaved African girls.Changes in state and colonial policies under Louis XV's Minister of the Navy, Jean-Baptiste Colbert, meant their mission would no longer involve the conversion of indigenous people. Instead, they focused on educating the colonists' daughters to be good French Catholic mothers. This shift aligned with a broader policy of social policing within the colony. Jesuit sponsor Fr. Channevelle envisioned these girls instructing their own children, domestic workers, and slaves to be dutiful and devout.As state resources dwindled and financial support from France decreased due to fragmented patron networks, declining monasticism, and competing state projects, the Ursulines' missions became financially unstable. They increasingly negotiated with colonial officials to secure support, emphasizing their role in teaching and upholding French culture over traditional missionary work. Archival records show their poverty and the shift in focus towards social utility. Yet, their teaching apostolate and missionary zeal continued to make them attractive candidates for other mission fields, including in Louisiana.Nevertheless, the letters that established their presence on the island tried to provide for their long-term sustainability by ensuring their right to generate revenues from sugar plantations and slave labor (indeed, it was more or less a stipulation of their contract). Two pious local women made donations of plantations to be held by the nuns directly for their support. They would be under the patronage of the Compagnie des Indes occidentales; the letters were signed by the king and his minister, Colbert.In exchange for being exempt from paying the head tax (capitation) and corvée labor imposition on their enslaved property, ""up to the number of 200 workers,"" they agreed to make yearly payments of sugar produced at their estates in the quantity of ""quatre cent milliers par chacun an."" As was the case with all other religious entities whose lettres patentes also stipulated tax-free status on enslaved persons up to a certain number, we should assume that the enslaved property possessed by the nuns in Martinique eventually exceeded 200.In 1751, a chapel was built within the Ursulines Convent site in St. Pierre, with the first stone laid by Governor Maximin de Bompar. During the French Revolution in 1792, the Ursuline convent was declared national property and became the meeting place for the oath-taking priests of the Patriotic Society of Saint-Pierre. The English occupation of Martinique from 1794 to 1802 allowed the Ursulines to reclaim their property. The land where the chapel (later the parish church of Saint-Etienne-du-Centre) and the Ursuline convent once stood before the devastating eruption of the volcano Pelée in 1902 is now occupied by the Gabriel Suvélor Stadium.",,,,,
Ursulines,Religieuses,Ursulines,Ordre de Sainte-Ursule,Ursulines of Pondicherry,"Pondicherry, Puducherry",Pondichéry,India,11.9416,79.8083,4,4,French,2,1738,"""Règlement du Conseil supérieur de Pondichéry pour l'établissement des dames religieuses Ursulines... destinées pour l'éducation des jeunes filles des François établis aux Indes."" Archives Nationales d'Outre-Mer, F5 A 40, fols. 27–59. Aix-en-Provence.","A contract signed between the French East India Company’s Superior Council in Pondicherry and the Ursuline Sisters of Vannes on 29 November 1738, made provisions for the Company to procure “two pions (foot servants) and two gardeners.” These may have been enslaved individuals, perhaps from among the topa community of Portuguese-speaking Indian (and mixed-race) enslaved persons and their descendants in the region. An amendment to the contract imposed by the local bishop, based in San Thomé (Chennai) stipulated that the nuns learn Portuguese in order to teach “the Slaves the catechism [by] speaking to them through the grill” of the convent gate.",,,,,
Ursulines,Religieuses,Ursulines,Ordre de Sainte-Ursule,,"Trois Rivieres, Quebec",Trois-Rivières,Canada,46.35,-72.55,5,5,French,2,1750,"Trudel, Marcel. <em>Dictionnaire des esclaves et de leurs propriétaires au Canada français</em>. Québec: Hurtubise HMH, 1990.","Along the St. Lawrence River, there are indications that religious orders in Quebec and Montreal held 20 African and/or indigenous slaves around mid-century, and the Ursulines in particular, based at Trois-Rivières, held 5. ",,,,,
